id_product;reference;name
400;;"Servicio Transporte Especial"
531;;"Junta para barro"
122;00115;"Doha Blanco"
25;00159;"Bali Lava"
36;00173;"Karachi Anthology"
40;00177;"Carino Cross"
120;00364;"Fugabella Color 01"
148;00365;"Fugabella Color 02"
149;00366;"Fugabella Color 03"
150;00367;"Fugabella Color 04"
151;00368;"Fugabella Color 05"
152;00369;"Fugabella Color 06"
153;00370;"Fugabella Color 07"
154;00371;"Fugabella Color 08"
155;00372;"Fugabella Color 09"
156;00373;"Fugabella Color 10"
157;00374;"Fugabella Color 11"
158;00375;"Fugabella Color 12"
159;00376;"Fugabella Color 13"
160;00377;"Fugabella Color 14"
161;00378;"Fugabella Color 15"
162;00379;"Fugabella Color 16"
164;00380;"Fugabella Color 17"
165;00381;"Fugabella Color 18"
166;00382;"Fugabella Color 19"
167;00383;"Fugabella Color 20"
168;00384;"Fugabella Color 21"
169;00385;"Fugabella Color 22"
170;00386;"Fugabella Color 23"
171;00387;"Fugabella Color 24"
172;00388;"Fugabella Color 25"
173;00389;"Fugabella Color 26"
174;00390;"Fugabella Color 27"
175;00391;"Fugabella Color 28"
176;00392;"Fugabella Color 29"
177;00393;"Fugabella Color 30"
178;00394;"Fugabella Color 31"
179;00395;"Fugabella Color 32"
180;00396;"Fugabella Color 33"
181;00397;"Fugabella Color 34"
182;00398;"Fugabella Color 35"
183;00399;"Fugabella Color 36"
184;00400;"Fugabella Color 37"
185;00401;"Fugabella Color 38"
186;00402;"Fugabella Color 39"
187;00403;"Fugabella Color 40"
188;00404;"Fugabella Color 41"
189;00405;"Fugabella Color 42"
190;00406;"Fugabella Color 43"
191;00407;"Fugabella Color 44"
192;00408;"Fugabella Color 45"
193;00409;"Fugabella Color 46"
194;00410;"Fugabella Color 47"
195;00411;"Fugabella Color 48"
196;00412;"Fugabella Color 49"
197;00413;"Fugabella Color 50"
130;00414;"Fugabella Eco Porcelana 0-5 - 01 Blanco"
198;00415;"Fugabella Eco Porcelana 0-5 - 02 Gris Luz"
199;00416;"Fugabella Eco Porcelana 0-5 - 03 Gris Perla"
200;00417;"Fugabella Eco Porcelana 0-5 - 04 Gris Hierro"
201;00418;"Fugabella Eco Porcelana 0-5 - 05 Antracita"
202;00419;"Fugabella Eco Porcelana 0-5 - 06 Negro"
203;00420;"Fugabella Eco Porcelana 0-5 - 07 Jazmín"
216;00421;"Fugabella Eco Porcelana 0-5 - 31 Beige Dakar"
204;00422;"Fugabella Eco Porcelana 0-5 - 08 Beige Bahama"
205;00423;"Fugabella Eco Porcelana 0-5 - 09 Caramelo"
206;00424;"Fugabella Eco Porcelana 0-5 - 10 Terracotta"
207;00425;"Fugabella Eco Porcelana 0-5 - 11 Marrón"
208;00426;"Fugabella Eco Porcelana 0-5 - 12 Nogal"
209;00427;"Fugabella Eco Porcelana 0-5 - 13 Crocus"
211;00428;"Fugabella Eco Porcelana 0-5 - 17 Oliva"
210;00429;"Fugabella Eco Porcelana 0-5 - 15 Océano"
215;00430;"Fugabella Eco Porcelana 0-5 - 30 Crema Natural"
214;00431;"Fugabella Eco Porcelana 0-5 - 29 Verde Asturias"
217;00432;"Fugabella Eco Porcelana 0-5 - 32 Azul Mediterráneo"
212;00433;"Fugabella Eco Porcelana 0-5 - 20 Magnolia"
213;00434;"Fugabella Eco Porcelana 0-5 - 27 Sunset"
239;00439;"Mapei Ultracolor Plus 100"
275;00441;"Mapei Ultracolor Plus 111"
281;00442;"Mapei Ultracolor Plus 123"
276;00443;"Mapei Ultracolor Plus 112"
277;00444;"Mapei Ultracolor Plus 113"
278;00445;"Mapei Ultracolor Plus 114"
280;00446;"Mapei Ultracolor Plus 120"
274;00447;"Mapei Ultracolor Plus 110"
283;00448;"Mapei Ultracolor Plus 127"
311;00449;"Mapei Ultracolor Plus 176"
285;00450;"Mapei Ultracolor Plus 131"
282;00451;"Mapei Ultracolor Plus 125"
279;00452;"Mapei Ultracolor Plus 119"
288;00453;"Mapei Ultracolor Plus 134"
296;00454;"Mapei Ultracolor Plus 141"
297;00455;"Mapei Ultracolor Plus 142"
299;00457;"Mapei Ultracolor Plus 144"
312;00458;"Mapei Ultracolor Plus 177"
284;00459;"Mapei Ultracolor Plus 130"
301;00460;"Mapei Ultracolor Plus 149"
294;00461;"Mapei Ultracolor Plus 137"
286;00462;"Mapei Ultracolor Plus 132"
295;00463;"Mapei Ultracolor Plus 138"
305;00464;"Mapei Ultracolor Plus 163"
306;00465;"Mapei Ultracolor Plus 167"
307;00466;"Mapei Ultracolor Plus 168"
287;00467;"Mapei Ultracolor Plus 133"
308;00468;"Mapei Ultracolor Plus 169"
314;00469;"Mapei Ultracolor Plus 188"
289;00470;"Mapei Ultracolor Plus 135"
304;00471;"Mapei Ultracolor Plus 152"
309;00472;"Mapei Ultracolor Plus 172"
310;00473;"Mapei Ultracolor Plus 174"
300;00474;"Mapei Ultracolor Plus 145"
313;00475;"Mapei Ultracolor Plus 187"
293;00476;"Mapei Ultracolor Plus 136"
315;00477;"Mapei Ultracolor Plus 189"
303;00478;"Mapei Ultracolor Plus 150"
399;00491;"Cement Color 00491"
406;00492;"Cement Color 00492"
407;00493;"Cement Color 00493"
408;00494;"Cement Color 00494"
409;00495;"Cement Color 00495"
747;00506;"Fiji Negro"
438;00526;"Mosaico Marfil Espiga"
441;00527;"Mosaico Circular Hueso"
443;00528;"Mosaico Arrows Hueso"
444;00529;"Mosaico Arrows Gris"
447;00532;"Muretto Cuarzo Hueso"
448;00533;"Muretto Piedra Natural"
405;00563;"Malaga Antracita"
450;00566;"Fugabella Eco Porcelana 0-5 - 21 Rojo"
451;00567;"Fugabella Eco Porcelana 0-5 - 23 Amarillo"
541;00617;"Chroma Aguamarina 10x10"
564;00640;"Chroma Nude Hexágono 10"
566;00642;"Chroma Tierra Hexágono 10"
568;00644;"Chroma Siena Hexágono 10"
571;00647;"Chroma Rojo Hexágono 10"
572;00648;"Chroma Aguamarina Hexágono 10"
573;00649;"Chroma Niebla Hexágono 10"
574;00650;"Chroma Basalto Hexágono 10"
575;00651;"Chroma Salvia Hexágono 10"
576;00652;"Chroma Oliva Hexágono 10"
577;00653;"Chroma Botella Hexágono 10"
578;00654;"Chroma Blanco 20x20"
579;00655;"Chroma Hueso 20x20"
580;00656;"Chroma Beige 20x20"
581;00657;"Chroma Tierra 20x20"
582;00658;"Chroma Ocre 20x20"
583;00659;"Chroma Siena 20x20"
585;00661;"Chroma Coral 20x20"
586;00662;"Chroma Rojo 20x20"
587;00663;"Chroma Aguamarina 20x20"
588;00664;"Chroma Niebla 20x20"
589;00665;"Chroma Basalto 20x20"
590;00666;"Chroma Salvia 20x20"
591;00667;"Chroma Oliva 20x20"
592;00668;"Chroma Botella 20x20"
594;00670;"Vitri Blanco 10x10"
809;00671;"Vitri Blanco Vintage 10x10"
799;00672;"Vitri Arena 10x10"
640;00673;"Vitri Miel 10x10"
595;00674;"Vitri Caramelo 10x10"
800;00675;"Vitri Natural 10x10"
802;00676;"Vitri Rojo 10x10"
596;00677;"Vitri Salvia 10x10"
803;00678;"Vitri Jade 10x10"
804;00679;"Vitri Verde 10x10"
805;00680;"Vitri Botella 10x10"
806;00681;"Vitri Aguamarina 10x10"
597;00682;"Vitri Niebla 10x10"
598;00683;"Vitri Posidonia 10x10"
807;00684;"Vitri Cobalto 10x10"
823;00700;"Vitri Blanco Arabesque"
642;00707;"Vitri Salvia Arabesque"
599;00708;"Vitri Jade Arabesque"
824;00711;"Vitri Aguamarina Arabesque"
825;00713;"Vitri Posidonia Arabesque"
836;00715;"Vitri Blanco Kite"
641;00724;"Vitri Verde Kite"
600;00728;"Vitri Posidonia Kite"
826;00730;"Vitri Blanco Etna"
827;00731;"Vitri Blanco Vintage Etna"
601;00733;"Vitri Miel Etna"
602;00754;"Vitri Verde Diamond"
603;00760;"Zellige Blanco 5x5 Enmallado"
605;00762;"Natural 10x10"
606;00763;"Natural Rústic 10x10"
607;00764;"Natural Gris 10x10"
608;00766;"Natural Hex 10"
609;00770;"Natural 25x25"
610;00771;"Natural Rústic 25x25"
611;00773;"Natural Gris Rústic 25x25"
612;00774;"Natural 7,5x30"
613;00775;"Natural Manual 10x20"
631;00779;"Vitri Blanco Rústico 10x10"
652;00829;"Mapei Ultracolor Plus 133"
651;00830;"Mapei Ultracolor Plus 134"
654;00831;"Mapei Ultracolor Plus 176"
656;00832;"Mapei Ultracolor Plus 169"
657;00833;"Mapei Ultracolor Plus 103"
716;00872;"Bahia-26 Rojo"
764;00880;"Quebec Hueso 29,7x29,7"
765;00881;"Quebec Gris 29,7x29,7"
766;00882;"Quebec Negro 29,7x29,7"
767;00883;"Quebec Verde 29,7x29,7"
768;00884;"Quebec Azul 29,7x29,7"
699;90001;"Piezas especiales - Huella y tablilla 3CM"
272;J-00440;"Mapei Ultracolor Plus 103"
298;J-00456;"Mapei Ultracolor Plus 143"
